Freq [GHz],"dB(S(1,1)) []","dB(S(1,2)) []","dB(S(1,3)) []","dB(S(1,4)) []"
4.262,-7.191546348,-2.784027852,-13.43427778,-16.38072063
4.272,-7.221156646,-2.779190654,-13.41305305,-16.31800936
4.282,-7.253038931,-2.773965237,-13.39117318,-16.25408817
4.292,-7.287287382,-2.768344065,-13.36863612,-16.18898387
4.302,-7.323857807,-2.762363312,-13.34544687,-16.12280316
4.312,-7.362868212,-2.756007315,-13.32162753,-16.05553656
4.322,-7.404309583,-2.749304283,-13.29718006,-15.98727152
4.332,-7.448278793,-2.742250732,-13.27211831,-15.91802939
4.342,-7.494732157,-2.734883367,-13.24645639,-15.84789701
4.352,-7.543824931,-2.727184092,-13.22021418,-15.77686656
4.362,-7.595568203,-2.719179339,-13.19340213,-15.70501008
4.372,-7.650035821,-2.710879016,-13.16602811,-15.63236983
4.382,-7.707308754,-2.702292671,-13.13810541,-15.55898424
4.392,-7.767400667,-2.693445366,-13.10966225,-15.48490745
4.402,-7.830409736,-2.684345148,-13.0807092,-15.41017627
4.412,-7.896388577,-2.67501211,-13.05126608,-15.3348413
4.422,-7.965400911,-2.665470636,-13.02132656,-15.25896342
4.432,-8.037538862,-2.655727014,-12.99093663,-15.18255621
4.442,-8.112893114,-2.645798784,-12.96010921,-15.10567069
4.452,-8.191542003,-2.635707278,-12.92885555,-15.02835083
4.462,-8.273585922,-2.625468925,-12.89719626,-14.9506373
4.472,-8.359066357,-2.615111218,-12.86516417,-14.87257534
4.482,-8.4481502,-2.604640129,-12.83277745,-14.79419354
4.492,-8.540753431,-2.594115254,-12.80004469,-14.71557978
4.502,-8.637205447,-2.583513524,-12.7669947,-14.63671894
4.512,-8.737641225,-2.572858069,-12.73363392,-14.55765504
4.522,-8.841887458,-2.562214663,-12.7000166,-14.47847538
4.532,-8.950285588,-2.55156652,-12.66615816,-14.39917769
4.542,-9.062823701,-2.540961423,-12.63208724,-14.31982234
4.552,-9.179649136,-2.530422767,-12.59781061,-14.24045391
4.562,-9.300889817,-2.519974139,-12.56335676,-14.16110705
4.572,-9.426748565,-2.509619257,-12.5287928,-14.08180246
4.582,-9.557184788,-2.499423098,-12.49409762,-14.00261381
4.592,-9.692341317,-2.489404573,-12.45931505,-13.92357218
4.602,-9.832465365,-2.479574968,-12.42446953,-13.84470375
4.612,-9.977541357,-2.469979006,-12.38960223,-13.7660637
4.622,-10.12772353,-2.460643298,-12.35473049,-13.68768672
4.632,-10.28313558,-2.451595123,-12.31988816,-13.60961182
4.642,-10.44383981,-2.442872412,-12.28509524,-13.53188308
4.652,-10.60997485,-2.434493285,-12.25040895,-13.45453464
4.662,-10.78163002,-2.426490426,-12.21585341,-13.37760793
4.672,-10.95875177,-2.418915585,-12.18142776,-13.30114908
4.682,-11.14154266,-2.411771949,-12.14721019,-13.22518731
4.692,-11.32988782,-2.405111868,-12.11320338,-13.1497715
4.702,-11.52382747,-2.398963191,-12.07943432,-13.07493224
4.712,-11.72326681,-2.393358357,-12.045947,-13.00071258
4.722,-11.92808207,-2.388330577,-12.01277381,-12.92715274
4.732,-12.13809843,-2.383915976,-11.97993012,-12.85428629
4.742,-12.35309472,-2.380137678,-11.9474768,-12.78215528
4.752,-12.57266459,-2.377036359,-11.9154304,-12.71079594
4.762,-12.79645289,-2.374639098,-11.88381447,-12.64023839
4.772,-13.02375918,-2.37298248,-11.85267448,-12.570528
4.782,-13.25389417,-2.372096079,-11.82203375,-12.50169522
4.792,-13.48593259,-2.372012137,-11.79192329,-12.43377559
4.802,-13.71873699,-2.372761935,-11.76237308,-12.36680319
4.812,-13.95094495,-2.374375635,-11.73341191,-12.30081088
4.822,-14.18089902,-2.376882725,-11.70507609,-12.23583582
4.832,-14.40680898,-2.380311989,-11.67737401,-12.17189586
4.842,-14.62634892,-2.384693221,-11.65034903,-12.1090335
4.852,-14.83708043,-2.390054889,-11.62401203,-12.04726769
4.862,-15.03615864,-2.396415291,-11.59842763,-11.9866483
4.872,-15.22061104,-2.403812115,-11.57356576,-11.92717342
4.882,-15.38723915,-2.412262167,-11.54947663,-11.86888248
4.892,-15.53269953,-2.421796139,-11.52616365,-11.81179121
4.902,-15.65390398,-2.432424147,-11.50367431,-11.75593335
4.912,-15.74774363,-2.444175169,-11.48201315,-11.70132445
4.922,-15.81163788,-2.457068116,-11.46119809,-11.64798366
4.932,-15.8436401,-2.471113365,-11.44126177,-11.59593885
4.942,-15.84245527,-2.486339403,-11.42217673,-11.54518235
4.952,-15.80755614,-2.502753645,-11.40398911,-11.49574614
4.962,-15.73929327,-2.520369941,-11.38671026,-11.44764632
4.972,-15.63892978,-2.539199451,-11.37034446,-11.40088973
4.982,-15.50846123,-2.559255707,-11.35488494,-11.35547363
4.992,-15.35035525,-2.58054515,-11.34035138,-11.31141661
5.002,-15.16745912,-2.603071403,-11.32677206,-11.26874221
5.012,-14.96335311,-2.626845767,-11.31408094,-11.22740245
5.022,-14.74101567,-2.651868787,-11.30233092,-11.18743845
5.032,-14.50365919,-2.678135609,-11.29153955,-11.14886594
5.042,-14.25452412,-2.705653979,-11.28166139,-11.11164826
5.052,-13.99642862,-2.734421291,-11.27269519,-11.07578394
5.062,-13.73192951,-2.764431164,-11.26463873,-11.04127183
5.072,-13.46310892,-2.795681719,-11.25750546,-11.00812338
5.082,-13.19210072,-2.828155995,-11.25128172,-10.97632575
5.092,-12.9205452,-2.861859721,-11.2459262,-10.9458428
5.102,-12.64982921,-2.896773737,-11.2414505,-10.91668385
5.112,-12.38115985,-2.932888081,-11.23782896,-10.88882497
5.122,-12.11543348,-2.970193326,-11.23504852,-10.86225424
5.132,-11.85347855,-3.008668155,-11.23309409,-10.83695648
5.142,-11.59586125,-3.048304234,-11.23194203,-10.81290883
5.152,-11.34311037,-3.089078239,-11.23157347,-10.79009513
5.162,-11.09556324,-3.130975281,-11.23196429,-10.76849013
5.172,-10.85349094,-3.173973944,-11.2330983,-10.74807794
5.182,-10.61709288,-3.218054177,-11.2349448,-10.72883074
5.192,-10.38649734,-3.263195162,-11.23747943,-10.71072408
5.202,-10.16178129,-3.309372874,-11.24067398,-10.6937315
5.212,-9.942944839,-3.356565918,-11.24450681,-10.67783026
5.222,-9.729998063,-3.40474727,-11.24894946,-10.66299387
5.232,-9.52290512,-3.453895511,-11.25396635,-10.64918757
5.242,-9.321607355,-3.503986102,-11.25952524,-10.63638041
5.252,-9.126017246,-3.554988977,-11.26560649,-10.62455329
5.262,-8.936048276,-3.606879009,-11.27217409,-10.61367141
5.272,-8.751589142,-3.65963025,-11.27919731,-10.6037051
5.282,-8.572523942,-3.713216572,-11.28664651,-10.59462484
5.292,-8.398738754,-3.767609984,-11.29448655,-10.58639857
5.302,-8.230115592,-3.822782172,-11.30268425,-10.57899321
5.312,-8.066516408,-3.878705583,-11.31121173,-10.57238219
5.322,-7.907821339,-3.935353412,-11.32003298,-10.56653091
5.332,-7.753900168,-3.992697918,-11.32911456,-10.56140714
5.342,-7.604614275,-4.050712667,-11.33842808,-10.55698402
5.352,-7.45984851,-4.109367806,-11.34793795,-10.55322825
5.362,-7.319468356,-4.168639864,-11.35761241,-10.55010791
5.372,-7.183344614,-4.228498309,-11.36742558,-10.54759941
5.382,-7.051366298,-4.288924032,-11.37732854,-10.54565632
5.392,-6.923411912,-4.349881991,-11.38730462,-10.54426224
5.402,-6.799349588,-4.411353045,-11.3973193,-10.54338599
5.412,-6.679086234,-4.473306864,-11.40733626,-10.5429923
5.422,-6.562488301,-4.53572377,-11.41733245,-10.54306092
5.432,-6.449458694,-4.598576331,-11.42727138,-10.54355768
5.442,-6.339886517,-4.661849082,-11.43711915,-10.54444865
5.452,-6.233674025,-4.725498797,-11.44686537,-10.54572915
5.462,-6.130716315,-4.789521221,-11.4564628,-10.54735213
5.472,-6.030905048,-4.853894821,-11.46589074,-10.54929948
5.482,-5.934172444,-4.918587691,-11.4751146,-10.55153997
5.492,-5.8404014,-4.983586513,-11.48411675,-10.55405919
5.502,-5.74952585,-5.048867554,-11.49286003,-10.55682102
5.512,-5.661438021,-5.114418448,-11.50132413,-10.55981049
5.522,-5.576070527,-5.180212747,-11.50948211,-10.5630025
5.532,-5.493339471,-5.246233034,-11.51731044,-10.56637766
5.542,-5.413166202,-5.31246684,-11.52478092,-10.56991026
5.552,-5.335476265,-5.378896534,-11.53187013,-10.57358072
5.562,-5.260192054,-5.445507687,-11.53855767,-10.5773726
5.572,-5.187227621,-5.512291749,-11.5448282,-10.58127459
5.582,-5.116569584,-5.579218485,-11.55063036,-10.58523754
5.592,-5.048114731,-5.6462705,-11.55597309,-10.5892798
5.602,-4.981796626,-5.713457673,-11.56082155,-10.59336568
5.612,-4.917563464,-5.780751579,-11.56516061,-10.59748714
5.622,-4.855353177,-5.848148986,-11.56896611,-10.60162385
5.632,-4.795109916,-5.915636331,-11.57222038,-10.60576346
5.642,-4.736782951,-5.983201376,-11.57490221,-10.60988993
5.652,-4.680315577,-6.050836811,-11.5769957,-10.61399276
5.662,-4.625659369,-6.118532663,-11.57848096,-10.61805753
5.672,-4.572763189,-6.186281501,-11.57934257,-10.62207477
5.682,-4.52159187,-6.254067177,-11.57955823,-10.62602848
5.692,-4.472080138,-6.321896656,-11.57911999,-10.62991637
5.702,-4.42419366,-6.389758288,-11.5780072,-10.63372419
5.712,-4.377892494,-6.457644681,-11.5762034,-10.63744223
5.722,-4.333132871,-6.525552497,-11.57369514,-10.64106366
5.732,-4.289880812,-6.593469909,-11.57046743,-10.64458195
5.742,-4.248088622,-6.661403884,-11.56651117,-10.64799257
5.752,-4.207734151,-6.729346988,-11.56179509,-10.65127516
5.762,-4.168774409,-6.797289546,-11.55632474,-10.65444107
5.772,-4.131179799,-6.865229898,-11.55008026,-10.65747903
5.782,-4.094908128,-6.933172617,-11.54305484,-10.66039022
5.792,-4.059946566,-7.001102156,-11.5352266,-10.66316186
5.802,-4.026245963,-7.069038969,-11.5265928,-10.66579827
5.812,-3.993800795,-7.136957626,-11.51713076,-10.66828717
5.822,-3.962562998,-7.204877054,-11.50684032,-10.67063603
5.832,-3.93251666,-7.27279057,-11.49570686,-10.67283967
5.842,-3.903629382,-7.340698429,-11.48372443,-10.67490189
5.852,-3.875893036,-7.40859362,-11.47087296,-10.67681163
5.862,-3.849270314,-7.476487631,-11.45715327,-10.67857885
5.872,-3.823740389,-7.544380199,-11.44255454,-10.6802022
5.882,-3.799290506,-7.612264648,-11.42706482,-10.68167923
5.892,-3.775900833,-7.680139479,-11.41067895,-10.68301469
5.902,-3.753544293,-7.748021714,-11.39338851,-10.68420775
5.912,-3.732206005,-7.815905772,-11.37518946,-10.68526393
5.922,-3.711870375,-7.883794218,-11.35607261,-10.68618235
5.932,-3.692525094,-7.951686293,-11.33602947,-10.68696255
5.942,-3.674136132,-8.019592048,-11.31506,-10.68761183
5.952,-3.656735431,-8.087500561,-11.29315397,-10.6881271
5.962,-3.640263729,-8.155423698,-11.27031284,-10.68851515
5.972,-3.624721451,-8.223373921,-11.24653212,-10.68877593
5.982,-3.610098721,-8.291343127,-11.22181035,-10.68891196
5.992,-3.596383833,-8.359335492,-11.19614699,-10.68892446
6.002,-3.583551804,-8.42735734,-11.16954155,-10.6888128
